C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res3_w1_tunable_l75_param.son DE_EMBEDDED Lk=8.5 l=75.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res3_w1_tunable_l75_param
5.9075,-0.0374971
5.91,-0.0375779
5.9125,-0.037659
5.915,-0.0377403
5.9175,-0.0378218
5.92,-0.0379035
5.9225,-0.0379854
5.925,-0.0380675
5.9275,-0.0381499
5.93,-0.0382324
5.9325,-0.0383152
5.935,-0.0383982
5.9375,-0.0384814
5.94,-0.0385648
5.9425,-0.0386485
5.945,-0.0387324
5.9475,-0.0388164
5.95,-0.0389008
5.9525,-0.0389853
5.955,-0.0390701
5.9575,-0.039155
5.96,-0.0392402
5.9625,-0.0393257
5.965,-0.0394113
5.9675,-0.0394972
5.97,-0.0395833
5.9725,-0.0396696
5.975,-0.0397562
5.9775,-0.039843
5.98,-0.03993
5.9825,-0.0400171
5.985,-0.0401047
5.9875,-0.0401924
5.99,-0.0402803
5.9925,-0.0403684
5.995,-0.0404568
5.9975,-0.0405454
6,-0.0406342
6.0025,-0.0407233
6.005,-0.0408126
6.0075,-0.0409021
6.01,-0.0409918
6.0125,-0.0410818
6.015,-0.041172
6.0175,-0.0412624
6.02,-0.0413531
6.0225,-0.0414439
6.025,-0.041535
6.0275,-0.0416264
6.03,-0.0417179
6.0325,-0.0418097
6.035,-0.0419017
6.0375,-0.0419939
6.04,-0.0420863
6.0425,-0.042179
6.045,-0.0422718
6.0475,-0.0423649
6.05,-0.0424582
6.0525,-0.0425517
6.055,-0.0426455
6.0575,-0.0427394
6.06,-0.0428335
6.0625,-0.0429279
6.065,-0.0430224
6.0675,-0.0431172
6.07,-0.0432121
6.0725,-0.0433073
6.075,-0.0434027
6.0775,-0.0434982
6.08,-0.043594
6.0825,-0.0436899
6.085,-0.0437861
6.0875,-0.0438824
6.09,-0.0439789
6.0925,-0.0440756
6.095,-0.0441725
6.0975,-0.0442696
6.1,-0.0443669
6.1025,-0.0444643
6.105,-0.044562
6.1075,-0.0446598
6.11,-0.0447578
6.1125,-0.044856
6.115,-0.0449543
6.1175,-0.0450529
6.12,-0.0451516
6.1225,-0.0452506
6.125,-0.0453497
6.1275,-0.045449
6.13,-0.0455485
6.1325,-0.0456482
6.135,-0.0457481
6.1375,-0.0458482
6.14,-0.0459485
6.1425,-0.046049
6.145,-0.0461497
6.1475,-0.0462506
6.15,-0.0463518
6.1525,-0.0464531
6.155,-0.0465548
6.1575,-0.0466566
6.16,-0.0467587
6.1625,-0.046861
6.165,-0.0469636
6.1675,-0.0470664
6.17,-0.0471695
6.1725,-0.0472729
6.175,-0.0473765
6.1775,-0.0474804
6.18,-0.0475846
6.1825,-0.0476891
6.185,-0.0477938
6.1875,-0.0478989
6.19,-0.0480043
6.1925,-0.04811
6.195,-0.048216
6.1975,-0.0483223
6.2,-0.0484289
6.2025,-0.0485359
6.205,-0.0486431
6.2075,-0.0487507
6.21,-0.0488587
6.2125,-0.048967
6.215,-0.0490756
6.2175,-0.0491845
6.22,-0.0492938
6.2225,-0.0494034
6.225,-0.0495134
6.2275,-0.0496237
6.23,-0.0497343
6.2325,-0.0498453
6.235,-0.0499566
6.2375,-0.0500683
6.24,-0.0501803
6.2425,-0.0502926
6.245,-0.0504053
6.2475,-0.0505183
6.25,-0.0506317
6.2525,-0.0507453
6.255,-0.0508593
6.2575,-0.0509736
6.26,-0.0510883
6.2625,-0.0512032
6.265,-0.0513185
6.2675,-0.0514341
6.27,-0.05155
6.2725,-0.0516663
6.275,-0.0517828
6.2775,-0.0518996
6.28,-0.0520168
6.2825,-0.0521342
6.285,-0.052252
6.2875,-0.05237
6.29,-0.0524883
6.2925,-0.052607
6.295,-0.0527259
6.2975,-0.052845
6.3,-0.0529645
6.3025,-0.0530843
6.305,-0.0532043
6.3075,-0.0533246
6.31,-0.0534452
6.3125,-0.053566
6.315,-0.0536871
6.3175,-0.0538085
6.32,-0.0539301
6.3225,-0.054052
6.325,-0.0541741
6.3275,-0.0542965
6.33,-0.0544191
6.3325,-0.054542
6.335,-0.0546652
6.3375,-0.0547885
6.34,-0.0549121
6.3425,-0.055036
6.345,-0.05516
6.3475,-0.0552843
6.35,-0.0554088
6.3525,-0.0555336
6.355,-0.0556585
6.3575,-0.0557837
6.36,-0.055909
6.3625,-0.0560346
6.365,-0.0561603
6.3675,-0.0562863
6.37,-0.0564124
6.3725,-0.0565387
6.375,-0.0566652
6.3775,-0.0567919
6.38,-0.0569187
6.3825,-0.0570457
6.385,-0.0571728
6.3875,-0.0573001
6.39,-0.0574275
6.3925,-0.0575551
6.395,-0.0576827
6.3975,-0.0578105
6.4,-0.0579383
6.4025,-0.0580663
6.405,-0.0581943
6.4075,-0.0583223
6.41,-0.0584505
6.4125,-0.0585786
6.415,-0.0587068
6.4175,-0.058835
6.42,-0.0589632
6.4225,-0.0590913
6.425,-0.0592194
6.4275,-0.0593475
6.43,-0.0594754
6.4325,-0.0596033
6.435,-0.059731
6.4375,-0.0598585
6.44,-0.0599859
6.4425,-0.060113
6.445,-0.0602399
6.4475,-0.0603664
6.45,-0.0604927
6.4525,-0.0606186
6.455,-0.0607441
6.4575,-0.0608691
6.46,-0.0609936
6.4625,-0.0611176
6.465,-0.0612409
6.4675,-0.0613635
6.47,-0.0614854
6.4725,-0.0616064
6.475,-0.0617264
6.4775,-0.0618455
6.48,-0.0619634
6.4825,-0.0620801
6.485,-0.0621954
6.4875,-0.0623092
6.49,-0.0624214
6.4925,-0.0625317
6.495,-0.06264
6.4975,-0.0627461
6.5,-0.0628498
6.5025,-0.0629507
6.505,-0.0630486
6.5075,-0.0631431
6.51,-0.0632339
6.5125,-0.0633205
6.515,-0.0634025
6.5175,-0.0634793
6.52,-0.0635501
6.5225,-0.0636143
6.525,-0.0636711
6.5275,-0.0637192
6.53,-0.0637576
6.5325,-0.0637847
6.535,-0.0637988
6.5375,-0.0637978
6.54,-0.0637791
6.5425,-0.0637395
6.545,-0.063675
6.5475,-0.0635807
6.55,-0.06345
6.5525,-0.0632746
6.555,-0.0630433
6.5575,-0.0627409
6.56,-0.0623462
6.5625,-0.0618291
6.565,-0.0611445
6.5675,-0.0602227
6.57,-0.0589502
6.5725,-0.0571293
6.575,-0.0543893
6.5775,-0.0499845
6.58,-0.042698
6.5825,-0.0654402
6.585,-0.351378
6.5875,-0.128515
6.59,-0.101541
6.5925,-0.0917142
6.595,-0.0867456
6.5975,-0.0837997
6.6,-0.0818835
6.6025,-0.0805614
6.605,-0.0796128
6.6075,-0.0789141
6.61,-0.0783911
6.6125,-0.077996
6.615,-0.0776971
6.6175,-0.0774724
6.62,-0.0773062
6.6225,-0.0771868
6.625,-0.0771057
6.6275,-0.0770561
6.63,-0.077033
6.6325,-0.0770322
6.635,-0.0770505
6.6375,-0.0770852
6.64,-0.0771342
6.6425,-0.0771956
6.645,-0.0772681
6.6475,-0.0773503
6.65,-0.0774413
6.6525,-0.07754
6.655,-0.0776458
6.6575,-0.077758
6.66,-0.0778759
6.6625,-0.0779992
6.665,-0.0781273
6.6675,-0.0782599
6.67,-0.0783966
6.6725,-0.0785371
6.675,-0.0786813
6.6775,-0.0788287
6.68,-0.0789793
6.6825,-0.0791328
6.685,-0.0792891
6.6875,-0.079448
6.69,-0.0796093
6.6925,-0.079773
6.695,-0.079939
6.6975,-0.080107
6.7,-0.0802771
6.7025,-0.0804492
6.705,-0.0806231
6.7075,-0.0807988
6.71,-0.0809763
6.7125,-0.0811554
6.715,-0.0813361
6.7175,-0.0815184
6.72,-0.0817022
6.7225,-0.0818875
6.725,-0.0820742
6.7275,-0.0822623
6.73,-0.0824518
6.7325,-0.0826426
6.735,-0.0828347
6.7375,-0.0830281
6.74,-0.0832228
6.7425,-0.0834186
6.745,-0.0836157
6.7475,-0.0838139
6.75,-0.0840133
6.7525,-0.0842139
6.755,-0.0844156
6.7575,-0.0846184
6.76,-0.0848222
6.7625,-0.0850272
6.765,-0.0852333
6.7675,-0.0854404
6.77,-0.0856486
6.7725,-0.0858578
6.775,-0.086068
6.7775,-0.0862793
6.78,-0.0864916
6.7825,-0.0867049
6.785,-0.0869192
6.7875,-0.0871344
6.79,-0.0873507
6.7925,-0.087568
6.795,-0.0877862
6.7975,-0.0880055
6.8,-0.0882257
6.8025,-0.0884468
6.805,-0.0886689
6.8075,-0.088892
6.81,-0.0891161
6.8125,-0.0893411
6.815,-0.089567
6.8175,-0.0897939
6.82,-0.0900218
6.8225,-0.0902506
6.825,-0.0904803
6.8275,-0.090711
6.83,-0.0909426
6.8325,-0.0911752
6.835,-0.0914087
6.8375,-0.0916432
6.84,-0.0918786
6.8425,-0.092115
6.845,-0.0923523
6.8475,-0.0925905
6.85,-0.0928297
6.8525,-0.0930698
6.855,-0.0933109
6.8575,-0.0935529
6.86,-0.0937959
6.8625,-0.0940398
6.865,-0.0942847
6.8675,-0.0945305
6.87,-0.0947773
6.8725,-0.095025
6.875,-0.0952737
6.8775,-0.0955233
6.88,-0.0957739
6.8825,-0.0960254
6.885,-0.096278
6.8875,-0.0965314
6.89,-0.0967859
6.8925,-0.0970413
6.895,-0.0972977
6.8975,-0.0975551
6.9,-0.0978134
6.9025,-0.0980727
6.905,-0.0983331
6.9075,-0.0985943
6.91,-0.0988566
6.9125,-0.0991199
6.915,-0.0993841
6.9175,-0.0996494
6.92,-0.0999157
6.9225,-0.100183
6.925,-0.100451
6.9275,-0.10072
6.93,-0.100991
6.9325,-0.101262
6.935,-0.101534
6.9375,-0.101808
6.94,-0.102082
6.9425,-0.102357
6.945,-0.102634
6.9475,-0.102911
6.95,-0.10319
6.9525,-0.103469
6.955,-0.10375
6.9575,-0.104032
6.96,-0.104314
6.9625,-0.104598
6.965,-0.104883
6.9675,-0.105169
6.97,-0.105456
6.9725,-0.105744
6.975,-0.106033
6.9775,-0.106323
6.98,-0.106614
6.9825,-0.106907
6.985,-0.1072
6.9875,-0.107495
6.99,-0.10779
6.9925,-0.108087
6.995,-0.108385
6.9975,-0.108684
7,-0.108984
7.0025,-0.109286
7.005,-0.109588
7.0075,-0.109892
7.01,-0.110196
7.0125,-0.110502
7.015,-0.110809
7.0175,-0.111117
7.02,-0.111426
7.0225,-0.111737
7.025,-0.112049
7.0275,-0.112361
7.03,-0.112675
7.0325,-0.11299
7.035,-0.113307
7.0375,-0.113624
7.04,-0.113943
7.0425,-0.114263
7.045,-0.114584
7.0475,-0.114907
7.05,-0.11523
7.0525,-0.115555
7.055,-0.115881
7.0575,-0.116209
7.06,-0.116537
7.0625,-0.116867
7.065,-0.117198
7.0675,-0.11753
7.07,-0.117864
7.0725,-0.118199
7.075,-0.118535
7.0775,-0.118872
7.08,-0.119211
7.0825,-0.119551
7.085,-0.119893
7.0875,-0.120235
7.09,-0.120579
7.0925,-0.120924
7.095,-0.121271
7.0975,-0.121619
7.1,-0.121968
7.1025,-0.122319
7.105,-0.122671
7.1075,-0.123024
7.11,-0.123379
7.1125,-0.123735
7.115,-0.124092
7.1175,-0.124451
7.12,-0.124811
7.1225,-0.125173
7.125,-0.125536
7.1275,-0.1259
7.13,-0.126266
7.1325,-0.126634
7.135,-0.127002
7.1375,-0.127372
7.14,-0.127744
7.1425,-0.128117
7.145,-0.128491
7.1475,-0.128867
7.15,-0.129245
7.1525,-0.129624
7.155,-0.130004
7.1575,-0.130386
7.16,-0.130769
7.1625,-0.131154
7.165,-0.131541
7.1675,-0.131929
7.17,-0.132318
7.1725,-0.132709
7.175,-0.133102
7.1775,-0.133496
7.18,-0.133892
7.1825,-0.134289
7.185,-0.134688
7.1875,-0.135088
7.19,-0.13549
7.1925,-0.135894
7.195,-0.136299
7.1975,-0.136706
7.2,-0.137114
7.2025,-0.137524
7.205,-0.137936
7.2075,-0.138349
7.21,-0.138764
7.2125,-0.139181
7.215,-0.139599
7.2175,-0.140019
7.22,-0.140441
7.2225,-0.140865
7.225,-0.14129
7.2275,-0.141717
7.23,-0.142145
7.2325,-0.142576
7.235,-0.143008
7.2375,-0.143442
7.24,-0.143877
7.2425,-0.144314
7.245,-0.144754
7.2475,-0.145195
7.25,-0.145637
7.2525,-0.146082
7.255,-0.146528
7.2575,-0.146976
7.26,-0.147426
7.2625,-0.147878
7.265,-0.148332
7.2675,-0.148788
7.27,-0.149245
7.2725,-0.149705
7.275,-0.150166
7.2775,-0.150629
7.28,-0.151094
7.2825,-0.151561
7.285,-0.15203
7.2875,-0.152501
7.29,-0.152974
7.2925,-0.153449
7.295,-0.153925
7.2975,-0.154404
7.3,-0.154885
7.3025,-0.155368
7.305,-0.155852
7.3075,-0.156339
7.31,-0.156828
7.3125,-0.157319
7.315,-0.157812
7.3175,-0.158307
7.32,-0.158804
7.3225,-0.159303
7.325,-0.159805
7.3275,-0.160308
7.33,-0.160814
7.3325,-0.161322
7.335,-0.161831
7.3375,-0.162344
7.34,-0.162858
7.3425,-0.163374
7.345,-0.163893
7.3475,-0.164414
7.35,-0.164937
7.3525,-0.165462
7.355,-0.16599
7.3575,-0.166519
7.36,-0.167051
7.3625,-0.167586
7.365,-0.168122
7.3675,-0.168661
7.37,-0.169203
7.3725,-0.169746
7.375,-0.170292
7.3775,-0.170841
7.38,-0.171391
7.3825,-0.171945
7.385,-0.1725
7.3875,-0.173058
7.39,-0.173618
7.3925,-0.174181
7.395,-0.174747
7.3975,-0.175314
7.4,-0.175885
7.4025,-0.176457
7.405,-0.177032
7.4075,-0.17761
7.41,-0.178191
7.4125,-0.178773
7.415,-0.179359
7.4175,-0.179947
7.42,-0.180538
7.4225,-0.181131
7.425,-0.181727
7.4275,-0.182325
7.43,-0.182926
7.4325,-0.18353
7.435,-0.184137
7.4375,-0.184746
7.44,-0.185358
7.4425,-0.185973
7.445,-0.18659
7.4475,-0.18721
7.45,-0.187833
7.4525,-0.188459
7.455,-0.189088
7.4575,-0.189719
7.46,-0.190354
7.4625,-0.190991
7.465,-0.191631
7.4675,-0.192274
7.47,-0.19292
7.4725,-0.193568
7.475,-0.19422
7.4775,-0.194875
7.48,-0.195533
7.4825,-0.196193
7.485,-0.196857
7.4875,-0.197524
7.49,-0.198194
7.4925,-0.198867
7.495,-0.199543
7.4975,-0.200222
7.5,-0.200904
7.5025,-0.201589
7.505,-0.202278
7.5075,-0.20297
7.51,-0.203665
7.5125,-0.204363
7.515,-0.205064
7.5175,-0.205769
7.52,-0.206477
7.5225,-0.207188
7.525,-0.207903
7.5275,-0.208621
7.53,-0.209342
7.5325,-0.210067
7.535,-0.210795
7.5375,-0.211526
7.54,-0.212261
7.5425,-0.213
7.545,-0.213742
7.5475,-0.214487
7.55,-0.215236
7.5525,-0.215988
7.555,-0.216745
7.5575,-0.217504
7.56,-0.218268
7.5625,-0.219034
7.565,-0.219805
7.5675,-0.220579
7.57,-0.221357
7.5725,-0.222139
7.575,-0.222924
7.5775,-0.223714
7.58,-0.224507
7.5825,-0.225304
7.585,-0.226104
7.5875,-0.226909
7.59,-0.227717
7.5925,-0.22853
7.595,-0.229346
7.5975,-0.230166
7.6,-0.230991
7.6025,-0.231819
7.605,-0.232651
7.6075,-0.233488
7.61,-0.234328
7.6125,-0.235173
7.615,-0.236022
7.6175,-0.236875
7.62,-0.237732
7.6225,-0.238594
7.625,-0.239459
7.6275,-0.240329
7.63,-0.241203
7.6325,-0.242082
7.635,-0.242965
7.6375,-0.243852
7.64,-0.244744
7.6425,-0.24564
7.645,-0.246541
7.6475,-0.247446
7.65,-0.248356
7.6525,-0.24927
7.655,-0.250189
7.6575,-0.251113
7.66,-0.252041
7.6625,-0.252974
7.665,-0.253912
7.6675,-0.254854
7.67,-0.255801
7.6725,-0.256753
7.675,-0.25771
7.6775,-0.258672
7.68,-0.259638
7.6825,-0.26061
7.685,-0.261586
7.6875,-0.262568
7.69,-0.263554
7.6925,-0.264546
7.695,-0.265543
7.6975,-0.266544
7.7,-0.267551
7.7025,-0.268564
7.705,-0.269581
7.7075,-0.270604
7.71,-0.271632
7.7125,-0.272665
7.715,-0.273704
7.7175,-0.274748
7.72,-0.275798
7.7225,-0.276853
7.725,-0.277914
7.7275,-0.27898
7.73,-0.280052
7.7325,-0.28113
7.735,-0.282213
7.7375,-0.283302
7.74,-0.284397
7.7425,-0.285497
7.745,-0.286604
7.7475,-0.287716
7.75,-0.288834
7.7525,-0.289958
7.755,-0.291088
7.7575,-0.292224
7.76,-0.293367
7.7625,-0.294515
7.765,-0.29567
7.7675,-0.29683
7.77,-0.297998
7.7725,-0.299171
7.775,-0.300351
7.7775,-0.301537
7.78,-0.302729
7.7825,-0.303928
7.785,-0.305134
7.7875,-0.306346
7.79,-0.307565
7.7925,-0.30879
7.795,-0.310022
7.7975,-0.311261
7.8,-0.312507
7.8025,-0.313759
7.805,-0.315019
7.8075,-0.316285
7.81,-0.317559
7.8125,-0.318839
7.815,-0.320127
7.8175,-0.321422
7.82,-0.322723
7.8225,-0.324033
7.825,-0.325349
7.8275,-0.326673
7.83,-0.328005
7.8325,-0.329343
7.835,-0.33069
7.8375,-0.332044
7.84,-0.333405
7.8425,-0.334774
7.845,-0.336151
7.8475,-0.337536
7.85,-0.338929
7.8525,-0.34033
7.855,-0.341738
7.8575,-0.343155
7.86,-0.34458
7.8625,-0.346012
7.865,-0.347454
7.8675,-0.348903
7.87,-0.350361
7.8725,-0.351827
7.875,-0.353302
7.8775,-0.354785
7.88,-0.356277
7.8825,-0.357777
7.885,-0.359286
7.8875,-0.360804
7.89,-0.362331
7.8925,-0.363867
7.895,-0.365411
7.8975,-0.366965
7.9,-0.368528
7.9025,-0.3701
7.905,-0.371682
7.9075,-0.373272
7.91,-0.374872
7.9125,-0.376482
7.915,-0.378101
7.9175,-0.37973
7.92,-0.381369
7.9225,-0.383017
7.925,-0.384675
7.9275,-0.386343
7.93,-0.388021
7.9325,-0.38971
7.935,-0.391408
7.9375,-0.393117
7.94,-0.394835
7.9425,-0.396565
7.945,-0.398305
7.9475,-0.400055
7.95,-0.401816
7.9525,-0.403588
7.955,-0.40537
7.9575,-0.407164
7.96,-0.408968
7.9625,-0.410784
7.965,-0.412611
7.9675,-0.414449
7.97,-0.416298
7.9725,-0.418159
7.975,-0.420031
7.9775,-0.421915
7.98,-0.423811
7.9825,-0.425718
7.985,-0.427638
7.9875,-0.429569
7.99,-0.431513
7.9925,-0.433468
7.995,-0.435436
7.9975,-0.437417
8,-0.43941
8.0025,-0.441415
8.005,-0.443433
8.0075,-0.445464
8.01,-0.447508
8.0125,-0.449565
8.015,-0.451635
8.0175,-0.453718
8.02,-0.455815
8.0225,-0.457925
8.025,-0.460049
8.0275,-0.462186
8.03,-0.464337
8.0325,-0.466502
8.035,-0.468681
8.0375,-0.470874
8.04,-0.473082
8.0425,-0.475304
8.045,-0.47754
8.0475,-0.479791
8.05,-0.482056
8.0525,-0.484337
8.055,-0.486633
8.0575,-0.488943
8.06,-0.491269
8.0625,-0.49361
8.065,-0.495967
8.0675,-0.49834
8.07,-0.500728
8.0725,-0.503132
8.075,-0.505552
8.0775,-0.507989
8.08,-0.510442
8.0825,-0.512911
8.085,-0.515397
8.0875,-0.517899
8.09,-0.520419
8.0925,-0.522955
8.095,-0.525509
8.0975,-0.52808
